8.801365499449653740e-03,1.490278383420923225e-01,6.151155275827879798e-03,2.161814774092913893e-01
7.409224779744816303e-03,1.492080475004564644e-01,4.731329054513899735e-03,1.992502906404719498e-01
1.723595229747354463e-02,1.703438613851433470e-01,1.151175237579538102e-02,1.768417495962674169e-01
1.340343368149932157e-02,1.422244497872439117e-01,1.036957832861085116e-02,1.851103890749098424e-01
1.795346374287976055e-02,1.756719029172311153e-01,1.207334141375171477e-02,1.832535338097475153e-01
1.462992007547714302e-02,1.740666479324849414e-01,2.242490903432492466e-02,1.970176524753557423e-01
1.492810653096054985e-02,1.663930057510821792e-01,2.256511364653868146e-02,1.553741626026514666e-01
1.953448919099687320e-02,1.845435426466901507e-01,1.619807513998861026e-02,1.768863157098019556e-01
2.460748683430813433e-02,1.704865001423290227e-01,2.885904172588238392e-02,1.871474371503903944e-01
1.838405632433792736e-02,1.644247131505037762e-01,2.058669573770344208e-02,1.741553172825225371e-01
2.281640026637665741e-02,1.452786210257942523e-01,2.444394518106196568e-02,1.860388054355970322e-01
1.914630658489324677e-02,1.790782123248310098e-01,1.851865862925783368e-02,1.340800225787991407e-01
1.192685014857342019e-02,1.423956283330800598e-01,3.560163250703651805e-02,1.952780229849965243e-01
3.226342119833247590e-02,1.886267484981297704e-01,3.505603966582016007e-02,2.180759041448654401e-01
1.922636624910245562e-02,1.821155039491154648e-01,3.128695686135207765e-02,1.928019014187587477e-01
2.765204212688643359e-02,1.977582932051646925e-01,2.929880870404966142e-02,1.746388144029634715e-01
1.591518949766346225e-02,1.491012715204358408e-01,2.958731042478901507e-02,1.938599634986851727e-01
2.281015916085449291e-02,1.597109009562365234e-01,2.441783843512901342e-02,1.550548345404667572e-01
1.827389541761936798e-02,1.351583555670339276e-01,2.947359643043112598e-02,1.429641437073375654e-01
1.933022080439994461e-02,1.614450123391786285e-01,2.299759761939978997e-02,1.374627759782826031e-01
2.065598531665568949e-02,1.821505305588297929e-01,2.224998566845859393e-02,1.534257911546230702e-01
2.217264634432847270e-02,1.773090007549489311e-01,2.692302973590865456e-02,1.877141231265355703e-01
2.462465090598375816e-02,1.444927458588960434e-01,4.686350071547462637e-02,1.968608760952670345e-01
1.445169105599009018e-02,1.616887396018674705e-01,3.364430023848929974e-02,1.894996188250894775e-01
2.117521451205595096e-02,1.615963948854373111e-01,2.930960042337216187e-02,1.876790288044798416e-01
2.708964566244298489e-02,1.603791600443058574e-01,3.053052156309443710e-02,1.669309231032557461e-01
2.426503140841673734e-02,2.186133688243729889e-01,2.979007652325627031e-02,1.726162460175657554e-01
1.561314182997197708e-02,1.898214647221785345e-01,3.276257829901585428e-02,1.899733055027982287e-01
3.070897341488099119e-02,1.701318330561275571e-01,3.327771217377595292e-02,2.004123438380771560e-01
